drive_id,title,parent_folder_id,drive_path,file_type,mime_type,size_bytes,modified_time,author,source_name,licence_status,reuse_decision,source_type,subject_category,original_source_url,drive_url,provenance_status,notes,signature,semantic_topics
1r_k3VvyzYuvD6D8nWq5tdDxAyZA5K0O-,Golden Dawn,1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,Golden Dawn,folder,application/vnd.google-apps.folder,,2021-02-05T11:44:44.670Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,unknown,unknown,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/drive/folders/1r_k3VvyzYuvD6D8nWq5tdDxAyZA5K0O-,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,f269bffc3e6ec5e59c29e853012c9c6758ff4b7a,Golden Dawn
12sggw0siKzEAIS3r2_DjzUoo7E8FPfFN,t.pdf,1r_k3VvyzYuvD6D8nWq5tdDxAyZA5K0O-,Golden Dawn/t.pdf,file,application/pdf,98805,2021-02-05T05:47:08.000Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,article,unknown,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/file/d/12sggw0siKzEAIS3r2_DjzUoo7E8FPfFN/view?usp=drivesdk,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,4583ee12fcac716727e4a83a6baf214e89172324,Golden Dawn
1D4ezVHBpO3N9VfnsksgKhqWbdYWNpQbi,The_Golden_Dawn_Schem_ha-Mephoresh.pdf,1r_k3VvyzYuvD6D8nWq5tdDxAyZA5K0O-,Golden Dawn/The_Golden_Dawn_Schem_ha-Mephoresh.pdf,file,application/pdf,341591,2021-02-05T05:47:01.000Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,article,unknown,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/file/d/1D4ezVHBpO3N9VfnsksgKhqWbdYWNpQbi/view?usp=drivesdk,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,b6831a4d14f6c5af1345edf965b03b9cf720a39f,Golden Dawn
1TxxySCv9ZKlfOj2-kQKJzo79G2k4QE-Z,Numbers_-_Their_Occult_Power_and_Mystic_Virtues_by_W._Wynn_Westcott.pdf,1r_k3VvyzYuvD6D8nWq5tdDxAyZA5K0O-,Golden Dawn/Numbers_-_Their_Occult_Power_and_Mystic_Virtues_by_W._Wynn_Westcott.pdf,file,application/pdf,820779,2021-02-05T05:46:58.000Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,article,philosophy,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/file/d/1TxxySCv9ZKlfOj2-kQKJzo79G2k4QE-Z/view?usp=drivesdk,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,2eb11134c11a06b1a284034c0f133125c99f1470,Golden Dawn; Western Occultism & Magick; Mysticism & Spirituality
1zxUqa1_3XqF1U06_7FOnz_smIwSb3Naf,Masonry,1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,Masonry,folder,application/vnd.google-apps.folder,,2021-02-05T11:43:26.488Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,unknown,unknown,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/drive/folders/1zxUqa1_3XqF1U06_7FOnz_smIwSb3Naf,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,daa4ca25276a5f85d57be1f5eaa3eee40064a294,Freemasonry & Masonic Orders
1EpE_eKsOH80wF0hWHctgcaQouaO_28F_,Bohemian Grove 2008 Program Booklet.pdf,1zxUqa1_3XqF1U06_7FOnz_smIwSb3Naf,Masonry/Bohemian Grove 2008 Program Booklet.pdf,file,application/pdf,4223904,2021-02-05T07:10:54.000Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,article,unknown,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/file/d/1EpE_eKsOH80wF0hWHctgcaQouaO_28F_/view?usp=drivesdk,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,b512e7b9ccc48edb19958f873ca5dc2d41c53fe6,Freemasonry & Masonic Orders
1I69-zy98gFaya8siBOZQ8HBR7ypQsSm_,viewcontent.pdf,1zxUqa1_3XqF1U06_7FOnz_smIwSb3Naf,Masonry/viewcontent.pdf,file,application/pdf,1039040,2021-02-05T06:04:49.000Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,article,unknown,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/file/d/1I69-zy98gFaya8siBOZQ8HBR7ypQsSm_/view?usp=drivesdk,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,e7e4deb9ce395b45b2159c7baeefc9556b557f48,Freemasonry & Masonic Orders
1nfWX8y1NMeYwHdZ2pD1yXbsDmpEdzJKQ,Odiorne_-_Opinions_on_Speculative_Masonry_raw.pdf,1zxUqa1_3XqF1U06_7FOnz_smIwSb3Naf,Masonry/Odiorne_-_Opinions_on_Speculative_Masonry_raw.pdf,file,application/pdf,49695297,2021-02-05T06:04:48.000Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,article,unknown,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/file/d/1nfWX8y1NMeYwHdZ2pD1yXbsDmpEdzJKQ/view?usp=drivesdk,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,75bfff881b6fcfb54732980b76e324694bdc203e,Freemasonry & Masonic Orders
1XH4kwHPUx9LCOXQl-jdZ1vyKDgUVu7eH,Unknown_-_The_Mysticism_of_Masonry.pdf,1zxUqa1_3XqF1U06_7FOnz_smIwSb3Naf,Masonry/Unknown_-_The_Mysticism_of_Masonry.pdf,file,application/pdf,187082,2021-02-05T06:04:33.000Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,article,philosophy,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/file/d/1XH4kwHPUx9LCOXQl-jdZ1vyKDgUVu7eH/view?usp=drivesdk,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,be4dbe7e8e832493371ab9cba8c1d2be68facb59,Freemasonry & Masonic Orders; Mysticism & Spirituality
1ULp-04hdcPFCuAZAoaitjRuV9NI3rcPD,The_Master_Masons_Handbook_-_J.S.M._Ward.pdf,1zxUqa1_3XqF1U06_7FOnz_smIwSb3Naf,Masonry/The_Master_Masons_Handbook_-_J.S.M._Ward.pdf,file,application/pdf,322023,2021-02-05T06:04:24.000Z,blackswanreprise,blackswanreprise,unknown,INDEX_ONLY,article,unknown,https://drive.google.com/drive/folders/1TPFgWXNA1FfL0SzJh9Y0bBoLd0eb1ffQ,https://drive.google.com/file/d/1ULp-04hdcPFCuAZAoaitjRuV9NI3rcPD/view?usp=drivesdk,metadata_only,Google Drive item discovered via authenticated traversal. Licence value defaulted to unknown unless explicit metadata stated otherwise.,5cd39684447066ff54056e6e5dd3b32ff0e6c9eb,Freemasonry & Masonic Orders
