wikipedia_title,akasha_source,akasha_title,matched_concept_families,semantic_score,author,topics,licence_status,reuse_decision,provenance_status,source_type,record_id,url
Karma,Google Drive,The-Truth-of-Rebirth.pdf,reincarnation|buddhist_continuity,8,blackswanreprise,Buddhism & Eastern Philosophy,unknown,INDEX_ONLY,metadata_only,article,1twa14cyhqZqFqd1jS9tW3c5xRHXO1czd,https://drive.google.com/file/d/1twa14cyhqZqFqd1jS9tW3c5xRHXO1czd/view?usp=drivesdk
Rebirth (Buddhism),Google Drive,The-Truth-of-Rebirth.pdf,reincarnation|buddhist_continuity,8,blackswanreprise,Buddhism & Eastern Philosophy,unknown,INDEX_ONLY,metadata_only,article,1twa14cyhqZqFqd1jS9tW3c5xRHXO1czd,https://drive.google.com/file/d/1twa14cyhqZqFqd1jS9tW3c5xRHXO1czd/view?usp=drivesdk
Reincarnation,Google Drive,The-Truth-of-Rebirth.pdf,reincarnation|buddhist_continuity,8,blackswanreprise,Buddhism & Eastern Philosophy,unknown,INDEX_ONLY,metadata_only,article,1twa14cyhqZqFqd1jS9tW3c5xRHXO1czd,https://drive.google.com/file/d/1twa14cyhqZqFqd1jS9tW3c5xRHXO1czd/view?usp=drivesdk
Saṃsāra,Google Drive,The-Truth-of-Rebirth.pdf,reincarnation|buddhist_continuity,8,blackswanreprise,Buddhism & Eastern Philosophy,unknown,INDEX_ONLY,metadata_only,article,1twa14cyhqZqFqd1jS9tW3c5xRHXO1czd,https://drive.google.com/file/d/1twa14cyhqZqFqd1jS9tW3c5xRHXO1czd/view?usp=drivesdk
Karma,Google Drive,A-Modern-Commentary-on-Karma-Lingpas-Zhi-Kro-Teachings-on-the-peaceful-and-wrathfull-deities.pdf,karma|buddhist_continuity,4,blackswanreprise,Buddhism & Eastern Philosophy,unknown,INDEX_ONLY,metadata_only,article,1wkjKRvHvVCgA3uDhiSflcqd5b-nn-dCK,https://drive.google.com/file/d/1wkjKRvHvVCgA3uDhiSflcqd5b-nn-dCK/view?usp=drivesdk
Karma,Google Drive,Buddhist Legends,buddhist_continuity,4,blackswanreprise,Buddhism & Eastern Philosophy; Mythology & Folklore,unknown,INDEX_ONLY,metadata_only,unknown,167o_MJPk1uI3wqqySNI3CrFQRRKtie0j,https://drive.google.com/drive/folders/167o_MJPk1uI3wqqySNI3CrFQRRKtie0j
Karma,Google Drive,Buddhist Suttas A-Z,buddhist_continuity,4,blackswanreprise,Buddhism & Eastern Philosophy,unknown,INDEX_ONLY,metadata_only,unknown,1aSYN2HQz5WEUL-YOcV9wpnnAgCMAnzlZ,https://drive.google.com/drive/folders/1aSYN2HQz5WEUL-YOcV9wpnnAgCMAnzlZ
Karma,Google Drive,Buddhist-Legends-1.pdf,buddhist_continuity,4,blackswanreprise,Buddhism & Eastern Philosophy; Mythology & Folklore,unknown,INDEX_ONLY,metadata_only,article,1yDTHSNrrXapvZA-3BFpWMcuR-BK-oJ6H,https://drive.google.com/file/d/1yDTHSNrrXapvZA-3BFpWMcuR-BK-oJ6H/view?usp=drivesdk
Karma,Google Drive,Buddhist-Legends-2.pdf,buddhist_continuity,4,blackswanreprise,Buddhism & Eastern Philosophy; Mythology & Folklore,unknown,INDEX_ONLY,metadata_only,article,149977AH226c4hkfHHHNhuxzULeprE12s,https://drive.google.com/file/d/149977AH226c4hkfHHHNhuxzULeprE12s/view?usp=drivesdk
Karma,Google Drive,Buddhist-Legends-3.pdf,buddhist_continuity,4,blackswanreprise,Buddhism & Eastern Philosophy; Mythology & Folklore,unknown,INDEX_ONLY,metadata_only,article,1-K0qVFJpWza3Nc3SKqdnGFlhZRQiUavp,https://drive.google.com/file/d/1-K0qVFJpWza3Nc3SKqdnGFlhZRQiUavp/view?usp=drivesdk
